FF7 Decompilation Dependency Report
Generated: 2026-04-11 14:18:34
Total functions in call graph: 3382

========================================================================
SECTION 1 – DECOMPILED  (1421 functions)
  Total: 1421 functions
========================================================================
  [sdk_excluded]  (333 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800C523C                                      0         1
  func_800C532C                                      0         1
  func_800C5414                                      0         1
  func_800C54BC                                      0         1
  func_800C5564                                      0         1
  func_800C560C                                      0         1
  func_800C5668                                      0         1
  func_800C57B0                                      0         1
  func_800C5898                                      0         1
  func_800C59B8                                      0         3
  func_800C5A2C                                      0         1
  func_800C5ADC                                      0         2
  func_800C5CE8                                      0         2
  func_800C5E80                                      0         2
  func_800C5FF4                                      0         1
  func_800C62F4                                      0         1
  func_800C63CC                                      0         1
  func_800C6748                                      0         1
  func_800C684C                                      0         1
  func_800C6924                                      0         2
  func_800C6D64                                      0         2
  func_800C6FD8                                      0         2
  func_800C728C                                      0         1
  func_800C7354                                      0         2
  func_800C75F0                                      0         2
  func_800C7C3C                                      0         2
  func_800C7CE8                                      0         2
  func_800C814C                                      0         2
  func_800C81C0                                      0         2
  func_800C8514                                      0         2
  func_800C8588                                      0         2
  func_800C8B98                                      0         2
  func_800C8F64                                      0         1
  func_800C9080                                      0         1
  func_800C91D8                                      0         2
  func_800C955C                                      0         2
  func_800C9A20                                      0         2
  func_800C9B88                                      0         2
  func_800C9C84                                      0         2
  func_800C9D80                                      0         2
  func_800C9E7C                                      0         2
  func_800C9F78                                      0         2
  func_800CA074                                      0         2
  func_800CA158                                      0         2
  func_800CA254                                      0         2
  func_800CA394                                      0         2
  func_800CA490                                      0         2
  func_800CA5D4                                      0         2
  func_800CA77C                                      0         2
  func_800CA95C                                      0         1
  func_800CAA24                                      0         1
  func_800CAAEC                                      0         2
  func_800CAC98                                      0         2
  func_800CADFC                                      0         2
  func_800CAF60                                      0         2
  func_800CB01C                                      0         2
  func_800CB0B8                                      0         4
  func_800CB1CC                                      0         3
  func_800CB28C                                      0         4
  func_800CB4F8                                      0         2
  func_800CB5C0                                      0         2
  func_800CB718                                      0         2
  func_800CB7C0                                      0         3
  func_800CB858                                      0         3
  func_800CB8F4                                      0         3
  func_800CB98C                                      0         3
  func_800CBA28                                      0         3
  func_800CBAC0                                      0         3
  func_800CBB5C                                      0         3
  func_800CBBF4                                      0         3
  func_800CBCA4                                      0         3
  func_800CBD40                                      0         3
  func_800CBDFC                                      0         3
  func_800CBE94                                      0         3
  func_800CBF40                                      0         3
  func_800CBFDC                                      0         3
  func_800CC098                                      0         3
  func_800CC134                                      0         3
  func_800CC1D4                                      0         3
  func_800CC358                                      0         3
  func_800CC4D8                                      0         3
  func_800CC558                                      0         3
  func_800CC5EC                                      0         3
  func_800CC670                                      0         3
  func_800CC78C                                      0         3
  func_800CC824                                      0         3
  func_800CC8A8                                      0         3
  func_800CC9EC                                      0         2
  func_800CCB10                                      0         2
  func_800CCBBC                                      0         2
  func_800CCC3C                                      0         2
  func_800CCCC8                                      0         2
  func_800CCD54                                      0         1
  func_800CCE94                                      0         1
  func_800CCFE8                                      0         2
  func_800CD2E8                                      0         2
  func_800CD3F0                                      0         2
  func_800CD554                                      0         1
  func_800CD5F0                                      0         2
  func_800CD770                                      0         1
  func_800CD834                                      0         4
  func_800CD91C                                      0         3
  func_800CDA24                                      0         4
  func_800CDB0C                                      0         3
  func_800CDC28                                      0         2
  func_800CDD40                                      0         2
  func_800CDE8C                                      0         2
  func_800CE054                                      0         2
  func_800CE214                                      0         2
  func_800CE480                                      0         2
  func_800CE6F4                                      0         2
  func_800CE904                                      0         2
  func_800CEE44                                      0         4
  func_800CF028                                      0         3
  func_800CF140                                      0         2
  func_800CF200                                      0         3
  func_800CF2BC                                      0         2
  func_800CF718                                      0         2
  func_800CF9B8                                      0         1
  func_800CFAF0                                      0         1
  func_800CFB84                                      0         1
  func_800CFCE4                                      0         2
  func_800CFE78                                      0         2
  func_800D0180                                      0         4
  func_800D08B8                                      0         0
  func_800D1654                                      0         2
  func_800D184C                                      0         3
  func_800D195C                                      0         1
  func_800D1A80                                      0         1
  func_800D1B94                                      0         3
  func_800D1C68                                      0         2
  func_800D1D3C                                      0         2
  func_800D1DB8                                      0         2
  func_800D1F20                                      0         5
  func_800D1FDC                                      0         5
  func_800D2098                                      0         5
  func_800D2164                                      0         9
  func_800D2794                                      0         2
  func_800D28A8                                      0         2
  func_800D2A70                                      0         3
  func_800D2B60                                      0         4
  func_800D2C60                                      0         4
  func_800D2E94                                      0         1
  func_800D2F3C                                      0         2
  func_800D3004                                      0         2
  func_800D3124                                      0         2
  func_800D3264                                      0         4
  func_800D3330                                      0         4
  func_800D368C                                      0         4
  func_800D3728                                      0         4
  func_800D3840                                      0         4
  func_800D3958                                      0         4
  func_800D3A70                                      0         4
  func_800D3B88                                      0         3
  func_800D3C18                                      0         3
  func_800D3CA8                                      0         3
  func_800D3D40                                      0         3
  func_800D3DCC                                      0         2
  func_800D3F30                                      0         1
  func_800D4038                                      0         2
  func_800D4214                                      0         1
  func_800D4300                                      0         2
  func_800D461C                                      0         2
  func_800D4780                                      0         1
  func_800D4CBC                                      0         2
  func_800D56A8                                      0         3
  func_800D579C                                      0         2
  func_800D5938                                      0         1
  func_800D5A60                                      0         1
  func_800D5D28                                      0         5
  func_800D6D44                                      0         1
  func_800D6E0C                                      0         1
  func_800D6F6C                                      0         1
  func_800D6F78                                      0         4
  func_800D707C                                      0         1
  func_800D7178                                      0         2
  func_800D751C                                      0         7
  func_800D76B8                                      0         1
  func_800D7D3C                                      0         2
  func_800D85B0                                      0         1
  func_800D85FC                                      0         3
  func_800D93E4                                      0         7
  func_800D9FA4                                      0         3
  func_800DA380                                      0         5
  func_800DA4FC                                      0         0
  func_800DB818                                      0         5
  func_800DD85C                                      0         3
  func_800DDAD8                                      0         5
  func_800DE46C                                      0         3
  func_800DEB18                                      0         1
  func_800DF24C                                      0         0
  func_800DF530                                      0         1
  func_800DF9F8                                      0         1
  func_800DFA94                                      0         5
  func_800DFC40                                      0         1
  func_800DFE34                                      0         5
  func_800DFFE4                                      0         0
  func_800E2C6C                                      0         7
  func_800E3088                                      0         9
  func_800E33A0                                      0         8
  func_800E3FB4                                      0         6
  func_800E4180                                      0         7
  func_800E4394                                      0         5
  func_800E4A64                                      0         5
  func_800E4C08                                      0         8
  func_800E53C8                                      0         0
  func_800E5978                                      0        12
  func_801D080C                                      0        25
  func_801D1C2C                                      0         3
  func_801D1D40                                      0         4
  func_801D2DA8                                      0         1

  [failed]  (26 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_801B11BC                                      2         0
  func_801B1598                                      2         0
  func_800D3658                                      1         1
  func_800D58D0                                      1         1
  func_800D7A88                                      1         1
  func_801B0668                                      1         1
  func_801B08C0                                      1         9
  func_801B1120                                      1         1
  func_801B1734                                      1         1
  func_801B19AC                                      1         1
  func_801B1CB0                                      1         0
  func_801B1E0C                                      1         0
  func_800A015C                                      0         3
  func_800A01A0                                      0        17
  func_800A32F0                                      0         0
  func_800A32FC                                      0         0
  func_800A3308                                      0         0
  func_800D376C                                      0         3
  func_800D508C                                      0         1
  func_800D5138                                      0         1
  func_800D52A0                                      0         1
  func_800D5350                                      0         0
  func_800D5444                                      0         1
  func_800D6734                                      0         1
  func_801B0050                                      0        28
  func_801B0F08                                      0         6

  [todo]  (66 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800A6000                                      5         5
  func_8001786C                                      4        12
  func_80034150                                      4         8
  func_800260DC                                      3        13
  func_800A5BC8                                      3         3
  func_800B5E64                                      3         3
  func_800B1D48                                      2        21
  func_800B54B8                                      2         3
  func_800140F4                                      1        17
  func_80021F58                                      1        18
  func_8002B1F8                                      1         6
  func_8002F848                                      1         7
  func_80030380                                      1         4
  func_800308D4                                      1         8
  func_800A16CC                                      1        21
  func_800A2314                                      1        33
  func_800A23E0                                      1        10
  func_800A38FC                                      1        10
  func_800A4BEC                                      1         7
  func_800A6278                                      1         4
  func_800A8968                                      1         2
  func_800A8F88                                      1        10
  func_800AA348                                      1         2
  func_800AA5E4                                      1         4
  func_800AA930                                      1         7
  func_800AAB24                                      1         5
  func_800AB9C4                                      1         3
  func_800ABB0C                                      1        23
  func_800AC35C                                      1        11
  func_800BA534                                      1         6
  func_800BA598                                      1         8
  func_800BA65C                                      1         8
  func_800BB3A8                                      1         4
  func_800BC9FC                                      1         9
  func_800BCB1C                                      1         9
  func_800BEA38                                      1         4
  func_800C4148                                      1         4
  func_800D0518                                      1         6
  func_800D0938                                      1         5
  func_800D8D78                                      1        21
  func_80023AD4                                      0        27
  func_8002B3B4                                      0         6
  func_80035744                                      0        15
  func_800A1158                                      0        17
  func_800A12F0                                      0         4
  func_800A17C0                                      0         6
  func_800A19A4                                      0         8
  func_800A3ED0                                      0         7
  func_800A866C                                      0         4
  func_800AABBC                                      0        16
  func_800B33A4                                      0         8
  func_800B3968                                      0         4
  func_800B3A04                                      0         4
  func_800B3AB8                                      0         4
  func_800B3B84                                      0         4
  func_800B8B48                                      0         8
  func_800B9B0C                                      0         2
  func_800C74E4                                      0         2
  func_800D4710                                      0         5
  func_800D5C9C                                      0         6
  func_800D650C                                      0         9
  func_800DF2CC                                      0         6
  func_800DF5C8                                      0         7
  func_800E3B64                                      0         7
  func_800E3E10                                      0         7
  func_801D2408                                      0         9

  [unknown]  (5 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800D4840                                      4         0
  func_800A1798                                      1        14
  func_800A3828                                      1         1
  func_80034A90                                      0         4
  func_800D4838                                      0         0
