FF7 Decompilation Dependency Report
Generated: 2026-04-11 14:18:34
Total functions in call graph: 3382

========================================================================
SECTION 1 – DECOMPILED  (1421 functions)
  Total: 1421 functions
========================================================================
  [sdk_excluded]  (333 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  func_800ADD4C                                      3         0
  func_800AE024                                      3         0
  func_800AE180                                      3         0
  func_800AFFBC                                      3         2
  func_800B11B4                                      3         0
  func_800B1218                                      3         0
  func_800B39B4                                      3         4
  func_800B5AAC                                      3         0
  func_800B624C                                      3         2
  func_800BC9E8                                      3         1
  func_800BCA38                                      3         0
  func_800C2000                                      3         3
  func_800CF60C                                      3         0
  func_800D4B28                                      3         0
  func_800D4EB4                                      3         0
  strncmp                                            3         0
  CdGetSector                                        2         1
  CdRead2                                            2         3
  CdSearchFile                                       2         5
  ChangeClearRCnt                                    2         0
  DecDCTReset                                        2         2
  EnableEvent                                        2         0
  GetVideoMode                                       2         0
  HookEntryInt                                       2         0
  OpenEvent                                          2         0
  ResetGraph                                         2         5
  SetLineF2                                          2         0
  func_8001117C                                      2         1
  func_80012840                                      2         2
  func_800131B8                                      2         1
  func_80014980                                      2         1
  func_800150E4                                      2         0
  func_80015668                                      2         0
  func_80015D14                                      2         1
  func_80015D64                                      2         2
  func_80016340                                      2         0
  func_80018834                                      2         1
  func_8001BB30                                      2         0
  func_8001BCE8                                      2         0
  func_8001DE70                                      2         0
  func_8001DEB0                                      2         0
  func_8001DEF0                                      2         0
  func_8001FA68                                      2         1
  func_8002120C                                      2         1
  func_8002305C                                      2         0
  func_800230C4                                      2         9
  func_80023788                                      2         0
  func_8002382C                                      2         0
  func_80024A3C                                      2        25
  func_80025288                                      2         0
  func_80025380                                      2         0
  func_80025A44                                      2         0
  func_800262D8                                      2         1
  func_80029114                                      2         3
  func_8002E428                                      2         1
  func_80033A90                                      2         0
  func_800343F0                                      2         1
  func_80034BB0                                      2         0
  func_80034D5C                                      2         0
